intent,snippet
Python Regex - Remove special characters but preserve apostraphes,"re.sub(""[^\\w' ]"", '', ""doesn't this mean it -technically- works?"")"
find all digits between a character in python,"print(re.findall('\\d+', '\n'.join(re.findall('\xab([\\s\\S]*?)\xbb', text))))"
Use index in pandas to plot data,"monthly_mean.reset_index().plot(x='index', y='A')"
How to get data from command line from within a Python program?,"subprocess.check_output('echo ""foo""', shell=True)"
Easy way to convert a unicode list to a list containing python strings?,[x.encode('UTF8') for x in EmployeeList]
pandas: combine two columns in a DataFrame,"pandas.concat([df['foo'].dropna(), df['bar'].dropna()]).reindex_like(df)"
How can I generate a list of consecutive numbers?,list(range(9))
"How to make a Python string out of non-ascii ""bytes""",""""""""""""".join(chr(i) for i in myintegers)"
Using inheritance in python,"super(Executive, self).__init__(*args)"
Removing items from unnamed lists in Python,[item for item in my_sequence if item != 'item']
randomly select an item from a list,random.choice(foo)
Python Check if all of the following items is in a list,"set(['a', 'b']).issubset(['a', 'b', 'c'])"
Python Check if all of the following items is in a list,"set(['a', 'b']).issubset(set(l))"
pass a string into subprocess.Popen,"p = Popen(['grep', 'f'], stdout=PIPE, stdin=PIPE, stderr=STDOUT)
grep_stdout = p.communicate(input='one\ntwo\nthree\nfour\nfive\nsix\n')[0]"
pass a string into subprocess.Popen,"p = subprocess.Popen(['grep', 'f'], stdout=subprocess.PIPE, stdin=subprocess.PIPE)
p.stdin.write('one\ntwo\nthree\nfour\nfive\nsix\n')
p.communicate()[0]
p.stdin.close()"
Most pythonic way to convert a list of tuples,[list(t) for t in zip(*list_of_tuples)]
Most pythonic way to convert a list of tuples,zip(*list_of_tuples)
simple/efficient way to expand a pandas dataframe,"pd.merge(y, x, on='k')[['a', 'b', 'y']]"
Splitting string and removing whitespace Python,"[item.strip() for item in my_string.split(',')]"
Get all object attributes,print((obj.__dict__))
Get all object attributes,dir()
Get all object attributes,dir()
How to center a window with PyGObject,window.set_position(Gtk.WindowPosition.CENTER)
how to change the size of the sci notation above the y axis in matplotlib?,"plt.rc('font', **{'size': '30'})"
Python pandas: check if any value is NaN in DataFrame,df.isnull().values.any()
Python - use list as function parameters,some_func(*params)
How to decode encodeURIComponent in GAE (python)?,urllib.parse.unquote(h.path.encode('utf-8')).decode('utf-8')
Percentage match in pandas Dataframe,(trace_df['ratio'] > 0).mean()
How to convert a tuple to a string in Python?,emaillist = '\n'.join(item[0] for item in queryresult)
How to convert a tuple to a string in Python?,[item[0] for item in queryresult]
How to convert a tuple to a string in Python?,emaillist = '\n'.join([item[0] for item in queryresult])
Python get focused entry name,"print(('focus object class:', window2.focus_get().__class__))"
How to declare an array in python,a = [0] * 10000
How can I remove duplicate words in a string with Python?,"print(' '.join(sorted(set(words), key=words.index)))"
How to generate random numbers that are different?,"random.sample(range(1, 50), 6)"
How to generate random numbers that are different?,"random.sample(range(1, 50), 6)"
Dictionary to lowercase in Python,"{k.lower(): v.lower() for k, v in list({'My Key': 'My Value'}.items())}"
Dictionary to lowercase in Python,"dict((k.lower(), v) for k, v in {'My Key': 'My Value'}.items())"
Dictionary to lowercase in Python,"dict((k.lower(), v.lower()) for k, v in {'My Key': 'My Value'}.items())"
sorting list of list in python,[sorted(item) for item in data]
Is there a way to get a list of column names in sqlite?,"names = list(map(lambda x: x[0], cursor.description))"
finding out absolute path to a file from python,os.path.abspath(__file__)
how to sort 2d array by row in python?,"sorted(matrix, key=itemgetter(1))"
Finding index of the same elements in a list,"[index for index, letter in enumerate(word) if letter == 'e']"
How to print container object with unicode-containing values?,print(str(x).decode('raw_unicode_escape'))
Python regular expressions - how to capture multiple groups from a wildcard expression?,"re.findall('\\w', 'abcdefg')"
check whether a file exists,os.path.isfile(fname)
check whether a file exists,"my_file = Path('/path/to/file')
if my_file.is_file():
    pass"
check whether a file exists,os.path.exists(file_path)
check whether a file exists,print(os.path.isfile('/etc/password.txt'))
check whether a file exists,print(os.path.isfile('/etc'))
check whether a file exists,print(os.path.exists('/does/not/exist'))
check whether a file exists,print(os.path.isfile('/does/not/exist'))
check whether a file exists,print(os.path.exists('/etc'))
check whether a file exists,print(os.path.exists('/etc/password.txt'))
Split Strings with Multiple Delimiters?,"""""""a;bcd,ef g"""""".replace(';', ' ').replace(',', ' ').split()"
"Why can you loop through an implicit tuple in a for loop, but not a comprehension in Python?",list(i for i in range(3))
Pythonically add header to a csv file,writer.writeheader()
How to flatten a tuple in python,"[(a, b, c) for a, (b, c) in l]"
Python - how to convert int to string represent a 32bit Hex number,"""""""0x{0:08X}"""""".format(3652458)"
How can I convert a Python dictionary to a list of tuples?,"[(v, k) for k, v in list(d.items())]"
How can I convert a Python dictionary to a list of tuples?,"[(v, k) for k, v in d.items()]"
How can I convert a Python dictionary to a list of tuples?,"[(v, k) for k, v in a.items()]"
How can I convert a Python dictionary to a list of tuples?,"[(k, v) for k, v in a.items()]"
What's the easiest way to convert a list of hex byte strings to a list of hex integers?,"[int(x, 16) for x in ['BB', 'A7', 'F6', '9E']]"
What's the easiest way to convert a list of hex byte strings to a list of hex integers?,"[int(x, 16) for x in L]"
Two values from one input in python?,"var1, var2 = input('Enter two numbers here: ').split()"
Django filter JSONField list of dicts,Test.objects.filter(actions__contains=[{'fixed_key_1': 'foo2'}])
Is there a cleaner way to iterate through all binary 4-tuples?,"itertools.product(list(range(2)), repeat=4)"
Python - Get Yesterday's date as a string in YYYY-MM-DD format,(datetime.now() - timedelta(1)).strftime('%Y-%m-%d')
Python 3: Multiply a vector by a matrix without NumPy,"np.dot([1, 0, 0, 1, 0, 0], [[0, 1], [1, 1], [1, 0], [1, 0], [1, 1], [0, 1]])"
Parse_dates in Pandas,"df['date'] = pd.to_datetime(df['date'], format='%d%b%Y')"
Importing files from different folder,"sys.path.insert(0, '/path/to/application/app/folder')
import file"
How can a pandas merge preserve order?,"x.reset_index().merge(y, how='left', on='state', sort=False).sort('index')"
How can i create the empty json object in python,"json.loads(request.POST.get('mydata', '{}'))"
Slicing a list into a list of sub-lists,"list(zip(*((iter([1, 2, 3, 4, 5, 6, 7, 8, 9]),) * 3)))"
Slicing a list into a list of sub-lists,"list(grouper(2, [1, 2, 3, 4, 5, 6, 7]))"
Slicing a list into a list of sub-lists,"[input[i:i + n] for i in range(0, len(input), n)]"
Sorting numbers in string format with Python,"keys.sort(key=lambda x: map(int, x.split('.')))"
Sorting numbers in string format with Python,keys.sort(key=lambda x: [int(y) for y in x.split('.')])
numpy with python: convert 3d array to 2d,"img.transpose(2, 0, 1).reshape(3, -1)"
Replacing few values in a pandas dataframe column with another value,"df['BrandName'].replace(['ABC', 'AB'], 'A')"
Replacing few values in a pandas dataframe column with another value,"df['BrandName'] = df['BrandName'].replace(['ABC', 'AB'], 'A')"
Pandas: Subtract row mean from each element in row,"df.sub(df.mean(axis=1), axis=0)"
"Python, remove all non-alphabet chars from string",""""""""""""".join([i for i in s if i.isalpha()])"
How to split a string into integers in Python?,l = (int(x) for x in s.split())
How to split a string into integers in Python?,"""""""42 0"""""".split()"
How to split a string into integers in Python?,"map(int, '42 0'.split())"
Get the indexes of truthy elements of a boolean list as a list/tuple,"[i for i, elem in enumerate(bool_list, 1) if elem]"
How to group pandas DataFrame entries by date in a non-unique column,data.groupby(data['date'].map(lambda x: x.year))
Getting the indices of several elements in a NumPy array at once,"np.in1d(b, a).nonzero()[0]"
"In Python, how to display current time in readable format","time.strftime('%l:%M%p %z on %b %d, %Y')"
Rotate axis text in python matplotlib,"ax.set_xticklabels(ax.xaxis.get_majorticklabels(), rotation=45)"
How does python do string magic?,""""""""""""".join(['x', 'x', 'x'])"
Array indexing in numpy,"x[(np.arange(x.shape[0]) != 1), :, :]"
How do I pull a recurring key from a JSON?,print(item['name'])
Read a File from redirected stdin with python,result = sys.stdin.read()
How to get the content of a Html page in Python,""""""""""""".join(soup.findAll(text=True))"
Extracting all rows from pandas Dataframe that have certain value in a specific column,data[data['Value'] == True]
Removing duplicate characters from a string,""""""""""""".join(set(foo))"
how to sort by a computed value in django,"sorted(Profile.objects.all(), key=lambda p: p.reputation)"
python pandas flatten a dataframe to a list,df.values.flatten()
how do I sort a python list of dictionaries given a list of ids with the desired order?,users.sort(key=lambda x: order.index(x['id']))
how do I sort a python list of dictionaries given a list of ids with the desired order?,users.sort(key=lambda x: order.index(x['id']))
Python requests library how to pass Authorization header with single token,"r = requests.get('<MY_URI>', headers={'Authorization': 'TOK:<MY_TOKEN>'})"
How do I un-escape a backslash-escaped string in python?,"print('""Hello,\\nworld!""'.decode('string_escape'))"
Can I have a non-greedy regex with dotall?,"re.findall('a*?bc*?', 'aabcc', re.DOTALL)"
python/numpy: how to get 2D array column length?,a.shape[1]
Adding calculated column(s) to a dataframe in pandas,"d.apply(lambda row: min([row['A'], row['B']]) - row['C'], axis=1)"
Count number of occurrences of a given substring in a string,"""""""abcdabcva"""""".count('ab')"
Get a list of values from a list of dictionaries in python,[d['key'] for d in l if 'key' in d]
Get a list of values from a list of dictionaries in python,[d['key'] for d in l]
Get a list of values from a list of dictionaries in python,[d['key'] for d in l]
How to order a list of lists by the first value,l1.sort(key=lambda x: int(x[0]))
How to order a list of lists by the first value,"sorted([[1, 'mike'], [1, 'bob']])"
case sensitive string replacement in Python,"""""""Abc"""""".translate(maketrans('abcABC', 'defDEF'))"
"python: dictionary to string, custom format?","""""""<br/>"""""".join([('%s:: %s' % (key, value)) for key, value in list(d.items())])"
how to write a unicode csv in Python 2.7,self.writer.writerow([str(s).encode('utf-8') for s in row])
how to clear the screen in python,os.system('cls')
how to clear the screen in python,os.system('clear')
"In python 2.4, how can I execute external commands with csh instead of bash?",os.system('tcsh your_own_script')
"In python 2.4, how can I execute external commands with csh instead of bash?","os.system(""zsh -c 'echo $0'"")"
"Updating a list of python dictionaries with a key, value pair from another list","[dict(d, count=n) for d, n in zip(l1, l2)]"
sum each value in a list of tuples,[sum(x) for x in zip(*l)]
sum each value in a list of tuples,"map(sum, zip(*l))"
Counting the number of non-NaN elements in a numpy ndarray matrix in Python,np.count_nonzero(~np.isnan(data))
Python: transform a list of lists of tuples,"map(list, zip(*main_list))"
Django - taking values from POST request,"request.POST.get('title', '')"
Check if string ends with one of the strings from a list,"""""""test.mp3"""""".endswith(('.mp3', '.avi'))"
Splitting strings in python,"re.findall('\\[[^\\]]*\\]|""[^""]*""|\\S+', s)"
Get top biggest values from each column of the pandas.DataFrame,"data.apply(lambda x: sorted(x, 3))"
How do I permanently set the current directory to the Desktop in Python?,os.chdir('C:/Users/Name/Desktop')
getting string between 2 characters in python,"re.findall('\\$([^$]*)\\$', string)"
getting string between 2 characters in python,"re.findall('\\$(.*?)\\$', '$sin (x)$ is an function of x')"
how to format date in ISO using python?,"datetime.datetime.strptime(str_date, '%m/%d/%Y').date().isoformat()"
Selecting specific column in each row from array,"A[[0, 1], [0, 1]]"
Selecting specific column in each row from array,"a[np.arange(3), (0, 1, 0)]"
Counting values in dictionary,"[k for k, v in dictA.items() if v.count('duck') > 1]"
Sub matrix of a list of lists (without numpy),"[[2, 3, 4], [2, 3, 4], [2, 3, 4]]"
How to call an element in an numpy array?,"print(arr[1, 1])"
Setting matplotlib colorbar range,"quadmesh.set_clim(vmin=0, vmax=15)"
read csv into record array in numpy,"my_data = genfromtxt('my_file.csv', delimiter=',')"
read csv into record array in numpy,"df = pd.read_csv('myfile.csv', sep=',', header=None)"
read csv into record array in numpy,"np.genfromtxt('myfile.csv', delimiter=',')"
read csv into record array,"np.genfromtxt('myfile.csv', delimiter=',', dtype=None)"
How do I read the first line of a string?,my_string.splitlines()[0]
How do I read the first line of a string?,"my_string.split('\n', 1)[0]"
How to generate a list from a pandas DataFrame with the column name and column values?,df.values.tolist()
How to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*\\*+', '*', text)"
How to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*+', '*', text)"
Multiplying values from two different dictionaries together in Python,"dict((k, v * dict2[k]) for k, v in list(dict1.items()) if k in dict2)"
Random strings in Python,return ''.join(random.choice(string.lowercase) for i in range(length))
How to count all elements in a nested dictionary?,sum(len(x) for x in list(food_colors.values()))
How to count all elements in a nested dictionary?,sum(len(v) for v in food_colors.values())
How to apply a logical operator to all elements in a python list,all(a_list)
Removing characters from string Python,""""""""""""".join(c for c in text if c not in 'aeiouAEIOU')"
Divide two lists in python,"[(x / y) for x, y in zip(a, b)]"
Capturing group with findall?,"re.findall('abc(de)fg(123)', 'abcdefg123 and again abcdefg123')"
applying functions to groups in pandas dataframe,df.groupby('type').apply(lambda x: np.mean(np.log2(x['v'])))
"Searching if the values on a list is in the dictionary whose format is key-string, value-list(strings)","[key for key, value in list(my_dict.items()) if set(value).intersection(lst)]"
"Searching if the values on a list is in the dictionary whose format is key-string, value-list(strings)","[key for item in lst for key, value in list(my_dict.items()) if item in value]"
Add tuple to a list of tuples,"c = [[(i + j) for i, j in zip(e, b)] for e in a]"
Python: Get relative path from comparing two absolute paths,"os.path.commonprefix(['/usr/var', '/usr/var2/log'])"
Python: Get relative path from comparing two absolute paths,"print(os.path.relpath('/usr/var/log/', '/usr/var'))"
filtering grouped df in pandas,grouped.filter(lambda x: len(x) > 1)
Python: sorting a dictionary of lists,"sorted(list(myDict.items()), key=lambda e: e[1][2])"
What is the most pythonic way to avoid specifying the same value in a string,"""""""hello {name}, how are you {name}, welcome {name}"""""".format(name='john')"
How to reorder indexed rows based on a list in Pandas data frame,"df.reindex(['Z', 'C', 'A'])"
determine if a list contains other lists,"any(isinstance(el, list) for el in input_list)"
get the size of a list,len(items)
get the size of a list,"len([1, 2, 3])"
get the size of a list,items.__len__()
get the size of a list,len()
get the size of a list,len(s)
Fastest way to sort each row in a pandas dataframe,"df.sort(axis=1, ascending=False)"
Fastest way to sort each row in a pandas dataframe,"df.sort(df.columns, axis=1, ascending=False)"
Pandas DataFrame Groupby two columns and get counts,"df.groupby(['col5', 'col2']).size().groupby(level=1).max()"
How would I check a string for a certain letter in Python?,"'x' in ['x', 'd', 'a', 's', 'd', 's']"
Delete a dictionary item if the key exists,"mydict.pop('key', None)"
Delete a dictionary item if the key exists,del mydict[key]
Delete a dictionary item if the key exists,"try:
    del mydict[key]
except KeyError:
    pass
try:
    del mydict[key]
except KeyError:
    pass"
Multiple positional arguments with Python and argparse,"parser.add_argument('input', nargs='+')"
How to avoid line color repetition in matplotlib.pyplot?,"pyplot.plot(x, y, color='#112233')"
Strip HTML from strings in Python,"re.sub('<[^<]+?>', '', text)"
Align numpy array according to another array,"a[np.in1d(a, b)]"
how to split a string on the first instance of delimiter in python,"""""""jvm.args= -Dappdynamics.com=true, -Dsomeotherparam=false,"""""".split('=', 1)"
Control a print format when printing a list in Python,"print('[%s]' % ', '.join('%.3f' % val for val in list))"
Control a print format when printing a list in Python,"print('[' + ', '.join('%5.3f' % v for v in l) + ']')"
Control a print format when printing a list in Python,print([('%5.3f' % val) for val in l])
How to move to one folder back in python,os.chdir('..')
Convert Unicode to UTF-8 Python,print(text.encode('windows-1252'))
How can I convert a binary to a float number,"struct.unpack('d', struct.pack('Q', int(s2, 0)))[0]"
How can I convert a binary to a float number,"float(int('-0b1110', 0))"
How can I convert a binary to a float number,"struct.unpack('d', b8)[0]"
Plotting categorical data with pandas and matplotlib,df.colour.value_counts().plot(kind='bar')
Plotting categorical data with pandas and matplotlib,df.groupby('colour').size().plot(kind='bar')
Read lines containing integers from a file in Python?,line.strip().split(' ')
Pandas how to apply multiple functions to dataframe,"df.groupby(lambda idx: 0).agg(['mean', 'std'])"
sorting dictionary by numeric value,"sorted(list(tag_weight.items()), key=lambda x: int(x[1]), reverse=True)"
How do I find the largest integer less than x?,int(math.ceil(x)) - 1
check if the string is empty,"if (not myString):
    pass"
Most elegant way to check if the string is empty,"if (not some_string):
    pass"
Most elegant way to check if the string is empty,"if (not my_string):
    pass"
check if the string is empty,"if some_string:
    pass"
iterate over a dictionary in sorted order,it = iter(sorted(d.items()))
iterate over a dictionary in sorted order,"for (key, value) in sorted(d.items()):
    pass"
iterate over a dictionary in sorted order,return sorted(dict.items())
iterate over a dictionary in sorted order,return iter(sorted(dict.items()))
iterate over a dictionary in sorted order,"for (k, v) in sorted(foo.items()):
    pass"
iterate over a dictionary in sorted order,"for k in sorted(foo.keys()):
    pass"
finding the last occurrence of an item in a list python,last = len(s) - s[::-1].index(x) - 1
convert list to string,str1 = ''.join(list1)
convert list to string,' '.join((str(x) for x in L))
convert list to string,str1 = ''.join((str(e) for e in list1))
convert list to string,"makeitastring = ''.join(map(str, L))"
remove None value from a list without removing the 0 value,[x for x in L if x is not None]
How do I select a random element from an array in Python?,"random.choice([1, 2, 3])"
Creating a 2d matrix in python,x = [[None for _ in range(5)] for _ in range(6)]
Numpy: Get random set of rows from 2D array,"A[(np.random.choice(A.shape[0], 2, replace=False)), :]"
Numpy: Get random set of rows from 2D array,"A[(np.random.randint(A.shape[0], size=2)), :]"
Combining rows in pandas,df.groupby(df.index).sum()
Parsing XML with namespace in Python via 'ElementTree',root.findall('{http://www.w3.org/2002/07/owl#}Class')
"How do I generate a random string (of length X, a-z only) in Python?",""""""""""""".join(random.choice(string.lowercase) for x in range(X))"
Python cant find module in the same folder,sys.path.append('/path/to/2014_07_13_test')
round number to nearest integer,int(round(x))
round number to nearest integer,h = int(round(h))
round number to nearest integer,"round(32.268907563, 3)"
round number to nearest integer,"round(value, significantDigit)"
round number to nearest integer,"round(1.0005, 3)"
round number to nearest integer,"round(2.0005, 3)"
round number to nearest integer,"round(3.0005, 3)"
round number to nearest integer,"round(4.0005, 3)"
round number to nearest integer,"round(8.005, 2)"
round number to nearest integer,"round(7.005, 2)"
round number to nearest integer,"round(6.005, 2)"
round number to nearest integer,"round(1.005, 2)"
Pandas - FillNa with another column,df['Cat1'].fillna(df['Cat2'])
Python: Logging TypeError: not all arguments converted during string formatting,"logging.info('date=%s', date)"
Python: Logging TypeError: not all arguments converted during string formatting,logging.info('date={}'.format(date))
"In dictionary, converting the value from string to integer","{k: int(v) for k, v in d.items()}"
How can I add the corresponding elements of several lists of numbers?,"map(sum, zip(*lists))"
Python: How to convert a string containing hex bytes to a hex string,s.decode('hex')
Python: How to convert a string containing hex bytes to a hex string,binascii.a2b_hex(s)
MITM proxy over SSL hangs on wrap_socket with client,connection.send('HTTP/1.0 200 established\r\n\r\n')
MITM proxy over SSL hangs on wrap_socket with client,connection.send('HTTP/1.0 200 OK\r\n\r\n')
Set value for particular cell in pandas DataFrame,df['x']['C'] = 10
Norm along row in pandas,np.sqrt(np.square(df).sum(axis=1))
How do I remove identical items from a list and sort it in Python?,sorted(set(my_list))
Python Finding Index of Maximum in List,"max(enumerate(a), key=lambda x: x[1])[0]"
Python Accessing Values in A List of Dictionaries,[d['Name'] for d in thisismylist]
Python Accessing Values in A List of Dictionaries,"[(d['Name'], d['Age']) for d in thisismylist]"
How to grab one random item from a database in Django/postgreSQL?,model.objects.all().order_by('?')[0]
"Run a python script from another python script, passing in args",os.system('script2.py 1')
Python Regex for hyphenated words,"re.findall('\\w+(?:-\\w+)+', text)"
Create variable key/value pairs with argparse (python),"parser.add_argument('--conf', nargs=2, action='append')"
"How do you pick ""x"" number of unique numbers from a list in Python?","random.sample(list(range(1, 16)), 3)"
Sort a list of strings based on regular expression match or something similar,"strings.sort(key=lambda str: re.sub('.*%(.).*', '\\1', str))"
Sort a list of strings based on regular expression match or something similar,"strings.sort(key=lambda str: re.sub('.*%', '', str))"
Appending to 2D lists in Python,listy = [[] for i in range(3)]
Sort NumPy float array column by column,"A = np.array(sorted(A, key=tuple))"
Python list comprehension for loops,[(x + y) for x in '12345' for y in 'ab']
Trimming a string,' Hello '.strip()
Trimming a string,myString.strip()
Trimming a string,' Hello '.strip()
Trimming a string,' Hello'.strip()
Trimming a string,'Bob has a cat'.strip()
Trimming a string,'          Hello        '.strip()
Trimming a string,str.strip()
Trimming a string,myString.strip('\n')
Trimming a string,myString.lstrip('\n\r')
Trimming a string,myString.rstrip('\n\t')
Trimming a string,'  Hello\n'.strip(' ')
Sort a list of tuples depending on two elements,"sorted(unsorted, key=lambda element: (element[1], element[2]))"
"Python, Encoding output to UTF-8",print(content.decode('utf8'))
How do I vectorize this loop in numpy?,"np.ma.array(np.tile(arr, 2).reshape(2, 3), mask=~cond).argmax(axis=1)"
How to convert efficiently a dataframe column of string type into datetime in Python?,pd.to_datetime(df.ID.str[1:-3])
How to gracefully fallback to `NaN` value while reading integers from a CSV with Pandas?,"df = pd.read_csv('my.csv', dtype={'my_column': np.float64}, na_values=['n/a'])"
How to gracefully fallback to `NaN` value while reading integers from a CSV with Pandas?,"df = pd.read_csv('my.csv', na_values=['n/a'])"
All combinations of a list of lists,list(itertools.product(*a))
How to extract all UPPER from a string? Python,"re.sub('[^A-Z]', '', s)"
Get date from ISO week number in Python,"datetime.strptime('2011221', '%Y%W%w')"
"How to read a ""C source, ISO-8859 text""","codecs.open('myfile', 'r', 'iso-8859-1').read()"
List Comprehensions in Python : efficient selection in a list,[f(x) for x in list]
Regex matching 5-digit substrings not enclosed with digits,"re.findall('(?<!\\d)\\d{5}(?!\\d)', s)"
filtering elements from list of lists in Python?,[item for item in a if sum(item) > 10]
python: how to convert currency to decimal?,cents_int = int(round(float(dollars.strip('$')) * 100))
Remove final characters from string recursively - What's the best way to do this?,""""""""""""".join(dropwhile(lambda x: x in bad_chars, example_line[::-1]))[::-1]"
Creating an empty list,l = []
Creating an empty list,l = list()
Creating an empty list,list()
Creating an empty list,[]
How to properly quit a program in python,sys.exit(0)
Add string in a certain position in Python,s[:4] + '-' + s[4:]
Python : how to append new elements in a list of list?,[[] for i in range(3)]
Python : how to append new elements in a list of list?,a = [[] for i in range(3)]
Changing the referrer URL in python requests,"requests.get(url, headers={'referer': my_referer})"
"Python, Matplotlib, subplot: How to set the axis range?","pylab.ylim([0, 1000])"
Pandas convert a column of list to dummies,pd.get_dummies(s.apply(pd.Series).stack()).sum(level=0)
Finding the largest delta between two integers in a list in python,"max(abs(x - y) for x, y in zip(values[1:], values[:-1]))"
How to convert hex string to integer in Python?,"y = str(int(x, 16))"
check if a string is a number (float),a.isdigit()
check if a string is a number,isdigit()
check if a string is a number,b.isdigit()
pandas.read_csv: how to skip comment lines,"pd.read_csv(StringIO(s), sep=',', comment='#')"
Pandas: how to change all the values of a column?,df['Date'] = df['Date'].apply(lambda x: int(str(x)[-4:]))
sum a list of numbers in Python,sum(list_of_nums)
how to get the index of dictionary with the highest value in a list of dictionary,"max(lst, key=lambda x: x['score'])"
Get data from the meta tags using BeautifulSoup,soup.findAll(attrs={'name': 'description'})
Python: how to get rid of spaces in str(dict)?,"str({'a': 1, 'b': 'as df'}).replace(': ', ':').replace(', ', ',')"
Python: how to get rid of spaces in str(dict)?,"'{' + ','.join('{0!r}:{1!r}'.format(*x) for x in list(dct.items())) + '}'"
Python- insert a character into a string,""""""""""""".join(parts[1:])"
Python- insert a character into a string,""""""",+"""""".join(c.rsplit('+', 1))"
How do I delete a row in a numpy array which contains a zero?,"a[np.all(a != 0, axis=1)]"
Extracting only characters from a string in Python,""""""" """""".join(re.split('[^a-zA-Z]*', 'your string'))"
Extracting only characters from a string in Python,"re.split('[^a-zA-Z]*', 'your string')"
Create Union of All Values Contained in Multiple Lists,results_union = set().union(*results_list)
Create Union of All Values Contained in Multiple Lists,return list(set(itertools.chain(*result_list)))
python: check if an numpy array contains any element of another array,"np.any(np.in1d(a1, a2))"
Removing control characters from a string in python,return ''.join(ch for ch in s if unicodedata.category(ch)[0] != 'C')
How to compare two lists in python,"all(i < j for i, j in zip(a, b))"
python selenium click on button,driver.find_element_by_css_selector('.button.c_button.s_button').click()
python selenium click on button,driver.find_element_by_css_selector('.button .c_button .s_button').click()
Is it possible to kill a process on Windows from within Python?,os.system('taskkill /im make.exe')
How to get current date and time from DB using SQLAlchemy,"print(select([my_table, func.current_date()]).execute())"
Remove duplicate chars using regex?,"re.sub('([a-z])\\1+', '\\1', 'ffffffbbbbbbbqqq')"
Regex to remove periods in acronyms?,"re.sub('(?<!\\w)([A-Z])\\.', '\\1', s)"
how to parse a list or string into chunks of fixed length,"split_list = [the_list[i:i + n] for i in range(0, len(the_list), n)]"
replacing all regex matches in single line,"re.sub('\\b(this|string)\\b', '<markup>\\1</markup>', 'this is my string')"
Output data from all columns in a dataframe in pandas,"pandas.set_option('display.max_columns', 7)"
Output data from all columns in a dataframe in pandas,"pandas.set_option('display.max_columns', None)"
Modifying a subset of rows in a pandas dataframe,"df.ix[df.A == 0, 'B'] = np.nan"
Selecting Element followed by text with Selenium WebDriver,"driver.find_element_by_xpath(""//li/label/input[contains(..,'polishpottery')]"")"
Ordering a list of dictionaries in python,"mylist.sort(key=operator.itemgetter('weight', 'factor'))"
Ordering a list of dictionaries in python,"mylist.sort(key=lambda d: (d['weight'], d['factor']))"
From a list of lists to a dictionary,{x[1]: x for x in lol}
Sorting dictionary keys based on their values,"sorted(d, key=lambda k: d[k][1])"
Python: How to round 123 to 100 instead of 100.0?,"int(round(123, -2))"
How do I create a file in python without overwriting an existing file,"fd = os.open('x', os.O_WRONLY | os.O_CREAT | os.O_EXCL)"
How to slice a list of strings with space delimiter?,new_list = [x.split()[-1] for x in Original_List]
Reverse a string,'hello world'[::(-1)]
Reverse a string,s[::(-1)]
Reverse a string,''.join(reversed('foo'))
Reverse a string,''.join(reversed(string))
Reverse a string,'foo'[::(-1)]
Reverse a string,a_string[::(-1)]
Reverse a string,"def reversed_string(a_string):
    return a_string[::(-1)]"
Reverse a string,''.join(reversed(s))
Generate a sequence of numbers in Python,""""""","""""".join(str(i) for i in range(100) if i % 4 in (1, 2))"
How to convert this list into a dictionary,"dict([(e[0], int(e[1])) for e in lst])"
sorting a list of tuples in Python,"sorted(list_of_tuples, key=lambda tup: tup[::-1])"
sorting a list of tuples in Python,"sorted(list_of_tuples, key=lambda tup: tup[1])"
Concatenating two one-dimensional NumPy arrays,"numpy.concatenate([a, b])"
Writing a list to a file with Python,"for item in thelist:
    thefile.write(('%s\n' % item))"
Writing a list to a file with Python,"for item in thelist:
    pass"
Writing a list to a file with Python,"pickle.dump(itemlist, outfile)"
Writing a list to a file with Python,outfile.write('\n'.join(itemlist))
SQLAlchemy: a better way for update with declarative?,session.query(User).filter_by(id=123).update({'name': 'Bob Marley'})
How to send cookies in a post request with the Python Requests library?,"r = requests.post('http://wikipedia.org', cookies=cookie)"
How to include third party Python libraries in Google App Engine?,"sys.path.insert(0, 'libs')"
get current time,datetime.datetime.now()
get current time,datetime.datetime.now().time()
get current time,"strftime('%Y-%m-%d %H:%M:%S', gmtime())"
get current time,str(datetime.now())
get current time,datetime.datetime.time(datetime.datetime.now())
Converting hex to int in python,ord('\xff')
Python Pandas Identify Duplicated rows with Additional Column,"df.groupby(['PplNum', 'RoomNum']).cumcount() + 1"
How to get UTC time in Python?,datetime.utcnow()
Python: Make last item of array become the first,a[-1:] + a[:-1]
pandas: how to run a pivot with a multi-index?,"df.set_index(['year', 'month', 'item']).unstack(level=-1)"
pandas: how to run a pivot with a multi-index?,"df.pivot_table(values='value', index=['year', 'month'], columns='item')"
How to print/show an expression in rational number form in python,print('\n\x1b[4m' + '3' + '\x1b[0m' + '\n2')
What is the best way to sort list with custom sorting parameters in Python?,li1.sort(key=lambda x: not x.startswith('b.'))
How to loop backwards in python?,"range(10, 0, -1)"
Get Element value with minidom with Python,name[0].firstChild.nodeValue
Simple threading in Python 2.6 using thread.start_new_thread(),"thread.start_new_thread(myfunction, ('MyStringHere', 1))"
Simple threading in Python 2.6 using thread.start_new_thread(),"thread.start_new_thread(myfunction, ('MyStringHere', 1))"
How to find all positions of the maximum value in a list?,a.index(max(a))
Regex add character to matched string,"re.sub('\\.(?=[^ .])', '. ', para)"
